,Ticker,Sector,Industry,Market Cap,Company Name
291,LEMONTREE,Consumer Discretionary,Leisure Services,74.95,Lemon Tree Hotels Limited
292,LINDEINDIA,Commodities,Chemicals & Petrochemicals,372.59,Linde India Limited
293,LUXIND,Consumer Discretionary,Textiles & Apparels,44.8,Lux Industries Limited
294,MMTC,Services,Commercial Services & Supplies,47.85,MMTC Limited
295,LUPIN,Healthcare,Pharmaceuticals & Biotechnology,390.56,Lupin Limited
296,MTARTECH,Industrials,Aerospace & Defense,58.96,Mtar Technologies Limited
297,LODHA,Consumer Discretionary,Realty,628.08,Macrotech Developers Limited
298,MRF,Consumer Discretionary,Auto Components,421.96,MRF Limited
299,MGL,Energy,Gas,100.41,Mahanagar Gas Limited
300,M&M,Consumer Discretionary,Automobiles,1707.68,Mahindra & Mahindra Limited
301,M&MFIN,Financial Services,Finance,377.7,Mahindra & Mahindra Financial Services Limited
302,MHRIL,Consumer Discretionary,Leisure Services,58.16,Mahindra Holidays & Resorts India Limited
303,MAHLIFE,Consumer Discretionary,Realty,70.22,Mahindra Lifespace Developers Limited
304,MAHLOG,Services,Transport Services,27.73,Mahindra Logistics Limited
305,MRPL,Energy,Petroleum Products,134.42,Mangalore Refinery and Petrochemicals Limited
306,MARICO,Fast Moving Consumer Goods,Agricultural Food & other Products,683.44,Marico Limited
307,MANAPPURAM,Financial Services,Finance,104.78,Manappuram Finance Limited
308,MARUTI,Consumer Discretionary,Automobiles,2817.59,Maruti Suzuki India Limited
309,MFSL,Financial Services,Insurance,257.94,Max Financial Services Limited
310,MASTEK,Information Technology,IT - Software,58.51,Mastek Limited
311,MAXHEALTH,Healthcare,Healthcare Services,563.96,Max Healthcare Institute Limited
312,MAZDOCK,Industrials,Industrial Manufacturing,236.59,Mazagon Dock Shipbuilders Limited
313,MEDPLUS,Consumer Discretionary,Retailing,93.41,Medplus Health Services Limited
314,MFL,Commodities,Chemicals & Petrochemicals,47.22,Meghmani Finechem Limited
315,METROPOLIS,Healthcare,Healthcare Services,70.98,Metropolis Healthcare Limited
316,METROBRAND,Consumer Discretionary,Consumer Durables,262.85,Metro Brands Limited
317,MPHASIS,Information Technology,IT - Software,345.13,MphasiS Limited
318,MOTILALOFS,Financial Services,Capital Markets,99.66,Motilal Oswal Financial Services Limited
319,MSUMI,Consumer Discretionary,Auto Components,250.01,Motherson Sumi Wiring India Limited
320,MUTHOOTFIN,Financial Services,Finance,490.51,Muthoot Finance Limited
321,MCX,Financial Services,Capital Markets,79.87,Multi Commodity Exchange of India Limited
322,NATCOPHARM,Healthcare,Pharmaceuticals & Biotechnology,120.72,Natco Pharma Limited
323,NBCC,Industrials,Construction,71.46,NBCC (India) Limited
324,NCC,Industrials,Construction,75.0,NCC Limited
325,NLCINDIA,Utilities,Power,135.13,NLC India Limited
326,NMDC,Commodities,Minerals & Mining,306.83,NMDC Limited
327,NHPC,Utilities,Power,457.55,NHPC Limited
328,NSLNISP,Commodities,Ferrous Metals,125.58,NMDC Steel Limited
329,NOCIL,Commodities,Chemicals & Petrochemicals,36.75,NOCIL Limited
330,NTPC,Utilities,Power,1810.37,NTPC Limited
331,NH,Healthcare,Healthcare Services,199.8,Narayana Hrudayalaya Ltd.
332,NATIONALUM,Commodities,Non - Ferrous Metals,149.5,National Aluminium Company Limited
333,NESTLEIND,Fast Moving Consumer Goods,Food Products,2172.91,Nestle India Limited
334,NETWORK18,Consumer Discretionary,Entertainment,66.11,Network18 Media & Investments Limited
335,NAVINFLUOR,Commodities,Chemicals & Petrochemicals,220.94,Navin Fluorine International Limited
336,NAZARA,Consumer Discretionary,Entertainment,45.39,Nazara Technologies Limited
337,NAM-INDIA,Financial Services,Capital Markets,156.11,Nippon Life India Asset Management Limited
338,NUVOCO,Commodities,Cement & Cement Products,124.65,Nuvoco Vistas Corporation Limited
339,OBEROIRLTY,Consumer Discretionary,Realty,357.77,Oberoi Realty Limited
340,ONGC,Energy,Oil,1973.85,Oil & Natural Gas Corporation Limited
341,OLECTRA,Consumer Discretionary,Automobiles,75.58,Olectra Greentech Limited
342,PAYTM,Financial Services,Financial Technology (Fintech),533.79,One 97 Communications Limited
343,OFSS,Information Technology,IT - Software,329.81,Oracle Financial Services Software Limited
344,OIL,Energy,Oil,264.32,Oil India Limited
345,ORIENTELEC,Consumer Discretionary,Consumer Durables,50.08,Orient Electric Limited
346,PCBL,Commodities,Chemicals & Petrochemicals,58.02,PCBL LIMITED
347,POLICYBZR,Financial Services,Financial Technology (Fintech),295.7,PB Fintech Limited
348,PIIND,Commodities,Fertilizers & Agrochemicals,577.65,PI Industries Limited
349,PNBHOUSING,Financial Services,Finance,152.83,PNB Housing Finance Limited
350,PNCINFRA,Industrials,Construction,83.94,PNC Infratech Limited
351,PVRINOX,Consumer Discretionary,Entertainment,135.37,PVR INOX Limited
352,PAGEIND,Consumer Discretionary,Textiles & Apparels,420.24,Page Industries Limited
353,PATANJALI,Fast Moving Consumer Goods,Agricultural Food & other Products,427.82,Patanjali Foods Limited
354,PETRONET,Energy,Gas,328.2,Petronet LNG Limited
355,PERSISTENT,Information Technology,IT - Software,369.61,Persistent Systems Limited
356,PFIZER,Healthcare,Pharmaceuticals & Biotechnology,171.43,Pfizer Limited
357,PHOENIXLTD,Consumer Discretionary,Realty,272.72,The Phoenix Mills Limited
358,PPLPHARMA,Healthcare,Pharmaceuticals & Biotechnology,108.23,Piramal Pharma Limited
359,PEL,Financial Services,Finance,210.56,Piramal Enterprises Limited
360,PIDILITIND,Commodities,Chemicals & Petrochemicals,1351.33,Pidilite Industries Limited
361,POLYMED,Healthcare,Healthcare Equipment & Supplies,110.37,Poly Medicure Limited
362,POONAWALLA,Financial Services,Finance,261.86,Poonawalla Fincorp Limited
363,PFC,Financial Services,Finance,528.41,Power Finance Corporation Limited
364,POLYCAB,Industrials,Industrial Products,513.57,Polycab India Limited
365,POWERGRID,Utilities,Power,1744.56,Power Grid Corporation of India Limited
366,PRAJIND,Industrials,Industrial Manufacturing,68.98,Praj Industries Limited
367,PRESTIGE,Consumer Discretionary,Realty,231.18,Prestige Estates Projects Limited
368,POLYPLEX,Industrials,Industrial Products,41.46,Polyplex Corporation Limited
369,PRSMJOHNSN,Commodities,Cement & Cement Products,63.88,Prism Johnson Limited
370,PRINCEPIPE,Industrials,Industrial Products,70.79,Prince Pipes And Fittings Limited
371,PNB,Financial Services,Banks,556.06,Punjab National Bank
372,PGHH,Fast Moving Consumer Goods,Personal Products,461.84,Procter & Gamble Hygiene and Health Care Limited
373,QUESS,Services,Commercial Services & Supplies,63.27,Quess Corp Limited
374,RECLTD,Financial Services,Finance,410.78,REC Limited
375,RHIM,Industrials,Industrial Products,135.69,RHI MAGNESITA INDIA LIMITED
