,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
82,CLEAN,0.0,0.722,0.278,0.402,146.37,Clean Science and Technology Limited,XC - MTRL,XC - CHM
83,COALINDIA,0.0,0.952,0.048,0.086,1402.64,Coal India Limited,XC - MTRL,XC - MTL
84,COCHINSHIP,0.0,1.0,0.0,0.0,65.28,Cochin Shipyard Limited,XC - INDS,XC - SHP
85,COFORGE,0.0,0.962,0.038,0.063,264.07,Coforge Limited,XC - INTH,XC - ITS
86,COLPAL,0.0,0.927,0.073,0.11,396.9,Colgate Palmolive (India) Limited,XC - COST,XC - HPP
87,CONCOR,0.0,1.0,0.0,0.0,414.53,Container Corporation of India Limited,XC - INDS,XC - LGT
88,COROMANDEL,0.0,1.0,0.0,0.0,253.92,Coromandel International Limited,XC - MTRL,XC - FRT
89,CREDITACC,0.0,1.0,0.0,0.0,141.5,CREDITACCESS GRAMEEN LIMITED,XC - FNCL,XC - NFC
90,CRISIL,0.0,1.0,0.0,0.0,218.57,CRISIL Limited,XC - FNCL,XC - NFC
91,CROMPTON,0.184,0.64,0.176,-0.026,215.41,Crompton Greaves Consumer Electricals Limited,XC - CODI,XC - RTL
92,CSBBANK,0.0,1.0,0.0,0.0,43.14,CSB Bank Limited,XC - FNCL,XC - PVT
93,CUB,0.0,1.0,0.0,0.0,115.05,City Union Bank Limited,XC - FNCL,XC - PVT
94,CYIENT,0.0,0.956,0.044,0.073,96.04,Cyient Limited,XC - INTH,XC - ITS
95,DABUR,0.045,0.9,0.055,0.043,1004.5,Dabur India Limited,XC - COST,XC - HPP
96,DBL,0.0,1.0,0.0,0.0,32.23,Dilip Buildcon Limited,XC - INDS,XC - CNS
97,DCMSHRIRAM,0.036,0.928,0.035,-0.004,138.34,DCM Shriram Limited,XC - INDS,XC - CAG
98,DEEPAKFERT,0.0,1.0,0.0,0.0,83.58,Deepak Fertilizers And Petrochemicals Corporation Limited,XC - MTRL,XC - CHM
99,DEEPAKNTR,0.0,1.0,0.0,0.0,257.06,Deepak Nitrite Limited,XC - MTRL,XC - CHM
100,DELHIVERY,0.0,0.906,0.094,0.105,227.49,Delhivery Limited,XC - INDS,XC - LGT
101,DELTACORP,0.0,0.919,0.081,0.147,56.56,Delta Corp Limited,XC - INTH,XC - INT
102,DIVISLAB,0.0,1.0,0.0,0.0,890.93,Divi's Laboratories Limited,XC - HECA,XC - PHR
103,DIXON,0.0,1.0,0.0,0.0,207.09,Dixon Technologies (India) Limited,XC - INDS,XC - CAG
104,DLF,0.026,0.949,0.024,-0.009,903.24,DLF Limited,XC - RLES,XC - REM
105,DMART,0.0,0.951,0.049,0.088,2275.96,Avenue Supermarts Limited,XC - CODI,XC - RTL
106,DRREDDY,0.034,0.966,0.0,-0.082,708.18,Dr. Reddy's Laboratories Limited,XC - HECA,XC - PHR
107,EASEMYTRIP,0.0,0.837,0.163,0.22,92.74,Easy Trip Planners Limited,XC - CODI,XC - HSP
108,EDELWEISS,0.0,1.0,0.0,0.0,64.23,Edelweiss Financial Services Limited,XC - FNCL,XC - NFC
109,EICHERMOT,0.0,0.944,0.056,0.095,882.39,Eicher Motors Limited,XC - CODI,XC - ATO
110,EIDPARRY,0.0,1.0,0.0,0.0,96.5,EID Parry India Limited,XC - COST,XC - SGR
111,ELGIEQUIP,0.0,0.928,0.072,0.099,118.6,Elgi Equipments Limited,XC - INDS,XC - CAG
112,ENDURANCE,0.0,0.658,0.342,0.382,202.3,Endurance Technologies Limited,XC - CODI,XC - ANC
113,ENGINERSIN,0.0,1.0,0.0,0.0,48.67,Engineers India Limited,XC - INDS,XC - CAG
114,EQUITASBNK,0.073,0.927,0.0,-0.159,69.3,Equitas Small Finance Bank Limited,XC - FNCL,XC - PVT
115,ESCORTS,0.0,0.936,0.064,0.127,276.92,Escorts Kubota Limited,XC - CODI,XC - ATO
116,EXIDEIND,0.0,1.0,0.0,0.0,156.06,Exide Industries Limited,XC - CODI,XC - ANC
117,FDC,0.0,1.0,0.0,0.0,42.28,FDC Limited,XC - HECA,XC - PHR
118,FEDERALBNK,0.038,0.906,0.056,0.019,285.65,The Federal Bank  Limited,XC - FNCL,XC - PVT
119,FINCABLES,0.089,0.911,0.0,-0.099,82.82,Finolex Cables Limited,XC - INDS,XC - CAG
120,FINPIPE,0.0,1.0,0.0,0.0,103.96,Finolex Industries Limited,XC - MTRL,XC - CHM
121,FLUOROCHEM,0.0,1.0,0.0,0.0,293.54,Gujarat Fluorochemicals Limited,XC - MTRL,XC - CHM
122,FORTIS,0.0,1.0,0.0,0.0,212.82,Fortis Healthcare Limited,XC - HECA,XC - HCS
